millis,stamp,datetime,light,temp,vcc
999, 1562112000, "2019/7/3 0:0:0", 999, 521.50, 1.13
1999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
2999, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
3999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
4999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
5999, 1562112000, "2019/7/3 0:0:0", 996, 520.92, 1.13
7000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
7999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
8998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
9999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
10999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
12000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
12998, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
13999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
14999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
16000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
16998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
17998, 1562112000, "2019/7/3 0:0:0", 998, 521.50, 1.13
19000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
19999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
20999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
21999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
23000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
23998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
24999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
25999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
26999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
28000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
28999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
29999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
30999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
32000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
32999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
33999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
35000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
35999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
36999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
37999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
39000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
39998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
40999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
41999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
42999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
44000, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
44998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
45999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
46999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
48000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
48998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
49999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
50999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
51999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
53000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
53999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
55000, 1562112000, "2019/7/3 0:0:0", 781, 520.34, 1.13
55999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
56999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
57999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
58999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
59998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
60998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
62000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
62999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
64000, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
64999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
65999, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
67000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
67998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
68999, 1562112000, "2019/7/3 0:0:0", 1023, 535.42, 1.10
69998, 1562112000, "2019/7/3 0:0:0", 1023, 535.42, 1.10
71000, 1562112000, "2019/7/3 0:0:0", 1023, 535.42, 1.10
71999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
72999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
73999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
74998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
76000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
76999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
77999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
78998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
79998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
80999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
81999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
82999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
83999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
84999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
85998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
86999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
87999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
